Year/Année,Name/Nom,Frequency/Fréquence
1969,DANIEL,867
1946,MICHAEL,866
1965,THOMAS,866
1985,MARK,866
1958,STEVEN,865
1996,JUSTIN,865
1984,JOHN,862
1999,TYLER,862
1972,DANIEL,861
1973,SCOTT,861
1976,STEVEN,861
1982,KEVIN,861
1974,MATTHEW,860
1998,BRANDON,860
1946,GARY,859
1990,KEVIN,859
1998,KYLE,859
1988,JONATHAN,858
1970,ANDREW,857
1953,STEPHEN,856
1990,JONATHAN,856
1933,GEORGE,855
1990,STEVEN,855
1963,GREGORY,853
1970,BRIAN,853
1988,TYLER,853
1922,DONALD,852
1943,KENNETH,852
1968,STEPHEN,852
1989,KEVIN,852
1992,KEVIN,852
2008,MATTHEW,851
1962,GREGORY,850
1974,ANDREW,850
1972,WILLIAM,849
1989,TYLER,848
2011,ETHAN,848
1970,STEPHEN,847
1979,JEFFREY,847
1984,MARK,847
1992,ROBERT,846
2003,MICHAEL,846
1981,JONATHAN,845
1988,ALEXANDER,845
1993,JACOB,845
1999,ANDREW,845
2007,MATTHEW,844
2009,NOAH,844
1934,GEORGE,842
2019,NOAH,842
2022,NOAH,842
1951,PETER,841
1979,STEVEN,841
1994,JAMES,841
1945,KENNETH,840
1983,MARK,840
1939,RONALD,839
1982,JEFFREY,839
1993,ADAM,839
1964,GREGORY,838
1974,WILLIAM,838
1983,STEVEN,838
1987,JONATHAN,838
2013,LIAM,838
1965,KENNETH,837
1939,DAVID,836
2007,NOAH,836
1964,SCOTT,835
2008,NATHAN,835
1944,KENNETH,834
1972,JEFFREY,834
1985,JOHN,833
1987,TYLER,832
1989,JONATHAN,831
2005,RYAN,831
2014,LIAM,831
2000,DANIEL,829
1921,CHARLES,828
1993,KEVIN,828
2009,JACOB,828
1981,JEFFREY,827
1984,STEVEN,825
1997,KYLE,825
1921,DONALD,824
1971,STEPHEN,824
1991,JONATHAN,824
2007,JOSHUA,823
1918,CHARLES,822
1982,MARK,821
2004,DANIEL,821
2013,ETHAN,820
1936,GEORGE,819
1978,STEVEN,818
1969,PETER,817
1991,ERIC,817
2002,RYAN,817
2007,DANIEL,816
1932,GEORGE,815
1983,KYLE,813
1988,NICHOLAS,813
1953,DANIEL,812
1965,SCOTT,812
1988,KEVIN,811
2002,ALEXANDER,810
1957,KEVIN,808
1965,DONALD,808
2007,RYAN,808
2011,JACOB,807
1973,WILLIAM,806
1997,CHRISTOPHER,806
2000,ANDREW,806
2000,ALEXANDER,805
2004,OWEN,805
1962,SCOTT,804
1965,RONALD,804
1968,DANIEL,804
1937,GEORGE,803
1939,GEORGE,803
2004,ALEXANDER,803
2012,JACOB,803
2013,LUCAS,803
1971,BRIAN,802
1975,WILLIAM,802
1989,STEVEN,801
2006,NOAH,801
2007,NATHAN,801
1952,STEPHEN,800
1970,PETER,800
1960,JEFFREY,799
1995,JORDAN,799
1982,JUSTIN,798
2006,RYAN,798
1935,GEORGE,797
1975,SCOTT,797
1995,DAVID,797
1942,KENNETH,796
1965,ANDREW,796
1994,JOSEPH,796
2013,NOAH,795
2018,LIAM                          ,795
1981,KEVIN,794
2008,NOAH,794
1975,RICHARD,793
1975,RYAN,793
1986,JOHN,793
2015,LIAM,793
1966,ANDREW,792
2003,ALEXANDER,792
1981,MARK,791
1917,CHARLES,790
1947,GARY,790
1986,JEFFREY,790
2023,NOAH,790
1974,SCOTT,789
2017,NOAH,789
1987,NICHOLAS,788
2018,NOAH                          ,787
1978,ADAM,786
2002,DANIEL,786
1920,CHARLES,785
2000,TYLER,785
2006,NATHAN,785
2011,LUCAS,785
2020,NOAH,785
1938,DAVID,784
1994,ADAM,784
1976,SCOTT,783
2019,LIAM,783
1967,SCOTT,782
1968,SCOTT,782
1989,JORDAN,781
1959,CHRISTOPHER,780
1964,ANDREW,780
2006,DANIEL,780
1948,WAYNE,779
1978,PAUL,779
2004,NICHOLAS,779
2005,NOAH,779
1986,TYLER,778
1994,KEVIN,778
2004,NATHAN,778
1947,GEORGE,777
1950,PETER,777
1984,KYLE,777
1992,ERIC,777
2005,NATHAN,777
1943,RICHARD,776
2001,DANIEL,776
2005,DANIEL,776
1993,ERIC,775
1920,DONALD,774
1995,ADAM,774
1982,STEVEN,773
1945,DOUGLAS,772
1961,GREGORY,772
2016,BENJAMIN,772
1977,PAUL,771
1989,JOHN,771
1986,MARK,770
2011,NOAH,770
1974,RICHARD,769
1994,DYLAN,769
2003,DANIEL,769
2006,ALEXANDER,769
1956,STEVEN,767
1960,GARY,767
1995,JOSEPH,767
2003,OWEN,766
2004,MICHAEL,766
1949,PETER,765
1931,RONALD,764
1971,ANDREW,764
1985,STEVEN,764
1993,ROBERT,764
1988,JOHN,763
1947,PETER,762
1972,ANDREW,759
1977,RICHARD,759
1997,JUSTIN,758
2010,LUCAS,758
1969,JASON,757
1996,DAVID,757
2009,NATHAN,757
2013,BENJAMIN,755
1990,JOHN,754
2003,BENJAMIN,754
2006,OWEN,754
1945,THOMAS,753
1981,JUSTIN,753
2001,BENJAMIN,753
2010,NOAH,752
1973,ANDREW,751
2001,ALEXANDER,751
1968,ANDREW,750
1999,KYLE,750
1971,PETER,749
1983,JOSHUA,749
1967,ANDREW,748
1986,NICHOLAS,748
1987,ALEXANDER,748
1987,JEFFREY,748
2009,ALEXANDER,748
2012,BENJAMIN,748
2015,BENJAMIN,748
1969,ANDREW,747
2010,NATHAN,747
2012,LUCAS,747
1921,THOMAS,746
1940,GEORGE,746
1957,TIMOTHY,746
1987,STEVEN,746
1987,JOHN,745
1996,JORDAN,745
2016,LIAM,745
2016,NOAH,745
1941,GEORGE,744
2007,OWEN,744
2011,NATHAN,744
2017,LIAM,744
1990,ERIC,743
1980,PAUL,742
1985,TYLER,742
1993,JONATHAN,742
1980,JUSTIN,741
2012,NOAH,741
1946,WAYNE,740
1952,GEORGE,740
1965,GREGORY,740
2014,ETHAN,740
1928,KENNETH,739
1976,RICHARD,739
1981,STEVEN,739
1996,JOSEPH,739
2008,JOSHUA,738
2001,JUSTIN,737
1968,TIMOTHY,736
1986,STEVEN,736
1996,KYLE,736
1998,CHRISTOPHER,736
2008,RYAN,736
2015,NOAH,735
1938,GEORGE,734
1982,JOSHUA,734
1999,BRANDON,734
2011,BENJAMIN,734
2017,BENJAMIN,734
1943,DOUGLAS,733
1989,BRANDON,733
1992,JONATHAN,733
2008,ALEXANDER,733
2009,WILLIAM,733
1966,SCOTT,732
1963,ANDREW,731
1998,JUSTIN,731
1989,ERIC,730
1919,CHARLES,729
2008,LUCAS,729
2020,LIAM,729
1929,KENNETH,728
1960,GREGORY,728
1961,GARY,728
1965,DOUGLAS,728
2005,ALEXANDER,728
1956,KEVIN,726
1930,KENNETH,725
1966,THOMAS,725
1923,CHARLES,724
1992,JACOB,724
2005,OWEN,724
2012,WILLIAM,724
1949,GEORGE,723
1984,ERIC,723
1929,BABY,722
1966,RONALD,722
1980,JONATHAN,722
1988,STEVEN,722
1999,JUSTIN,722
2014,NOAH,722
1937,DAVID,720
1966,KENNETH,720
2016,ETHAN,720
1994,ZACHARY,718
2014,BENJAMIN,717
1959,JEFFREY,716
1995,JAMES,716
1942,GEORGE,715
1942,THOMAS,715
1990,BRANDON,715
1922,CHARLES,713
1948,GARY,713
1974,SHAWN,713
1945,GARY,712
1945,PAUL,712
1952,DANIEL,712
1971,GREGORY,712
1991,JOHN,712
1991,STEVEN,712
2001,TYLER,712
1989,JASON,711
1941,KENNETH,710
1989,WILLIAM,710
2009,LUCAS,710
1943,THOMAS,709
1972,BRIAN,708
1920,THOMAS,707
1942,RICHARD,707
2015,LUCAS,707
1972,STEPHEN,706
1994,ERIC,704
2000,ETHAN,704
1938,KENNETH,703
1950,GEORGE,703
1977,SCOTT,703
2000,BENJAMIN,703
2014,WILLIAM,703
2015,ETHAN,703
1979,PAUL,702
1997,AUSTIN,702
1998,JORDAN,702
1999,CHRISTOPHER,702
2005,NICHOLAS,702
2013,JACOB,702
1971,SEAN,701
1976,WILLIAM,701
1983,WILLIAM,700
1987,SCOTT,700
1988,BRANDON,700
2001,ANDREW,700
2022,LIAM,700
1994,ROBERT,699
2009,JOSHUA,699
1983,BRIAN,698
2010,BENJAMIN,698
2014,JACOB,698
1949,GARY,697
1977,BRIAN,697
1980,STEVEN,697
1967,THOMAS,696
2014,LUCAS,696
2013,WILLIAM,695
1973,SHAWN,694
1997,DAVID,694
2006,NICHOLAS,694
1985,NICHOLAS,693
2007,LUCAS,693
1989,THOMAS,692
1985,ERIC,691
1996,ADAM,691
1944,DOUGLAS,690
1986,ALEXANDER,690
1996,AUSTIN,690
2005,BENJAMIN,690
1943,GEORGE,689
1948,PETER,689
1955,WAYNE,689
1992,CODY,689
1995,DYLAN,688
2007,LOGAN,688
2009,MATTHEW,687
1944,THOMAS,686
1973,BRIAN,686
1955,STEVEN,685
1979,SCOTT,685
1995,ERIC,685
2008,DANIEL,685
1936,EDWARD,684
1946,GEORGE,684
1984,WILLIAM,684
1988,ERIC,684
2002,ANDREW,684
1921,HAROLD,683
1991,DYLAN,683
1995,KEVIN,683
1997,JORDAN,683
2008,LIAM,683
2011,WILLIAM,683
1933,KENNETH,682
1951,STEPHEN,682
1984,BRIAN,682
1930,RONALD,681
2006,LUCAS,681
1998,ADAM,680
1944,GEORGE,679
1984,TYLER,679
2009,BENJAMIN,677
1927,KENNETH,676
1982,WILLIAM,676
2006,WILLIAM,676
2016,LUCAS,676
1958,CHRISTOPHER,675
2008,LOGAN,675
2020,BENJAMIN,675
1924,CHARLES,674
1952,WAYNE,674
1980,SCOTT,674
1942,DOUGLAS,673
1969,TIMOTHY,673
1973,MATTHEW,673
1981,PAUL,673
1987,MARK,673
1980,WILLIAM,671
2018,LUCAS                         ,671
1923,THOMAS,670
1954,MARK,670
1961,ANDREW,670
1997,JAMES,670
1992,JOHN,669
2002,JUSTIN,669
1981,BRIAN,668
1986,ERIC,668
2008,OWEN,668
2019,LUCAS,668
1925,KENNETH,667
1931,KENNETH,667
1957,GEORGE,667
2004,ANDREW,667
2007,BENJAMIN,667
1970,GREGORY,666
2017,WILLIAM,665
1967,RONALD,664
1979,BRIAN,664
1988,MARK,664
2002,BENJAMIN,664
2010,ALEXANDER,664
1951,GEORGE,663
2003,WILLIAM,663
2010,LOGAN,663
1920,HAROLD,662
1949,WAYNE,662
1989,SCOTT,662
1995,ZACHARY,662
2003,ANDREW,662
2003,TYLER,662
2008,WILLIAM,662
1970,TIMOTHY,661
1990,THOMAS,661
1945,MICHAEL,660
1954,BRUCE,660
1955,GEORGE,660
1957,CHRISTOPHER,660
1987,WILLIAM,660
1992,STEVEN,660
1996,JAMES,660
2009,LOGAN,660
2018,WILLIAM                       ,660
2023,LIAM,660
1966,DONALD,659
2009,DANIEL,659
2021,LIAM,659
1923,GORDON,658
1932,KENNETH,658
1978,RICHARD,658
2014,MASON,658
1951,WAYNE,657
1953,WAYNE,657
1982,PAUL,657
1994,JESSE,657
2010,WILLIAM,657
1958,JEFFREY,656
1986,BRANDON,656
1966,GREGORY,655
1987,BRANDON,655
2000,NOAH,655
2015,WILLIAM,655
2017,LOGAN,654
1954,GEORGE,653
1967,KENNETH,653
1999,NOAH,653
2000,JUSTIN,653
2005,LIAM,653
1922,HAROLD,652
1954,WAYNE,652
1977,WILLIAM,652
2006,MICHAEL,652
1949,LARRY,651
1981,SCOTT,651
1941,THOMAS,650
1944,GARY,650
1971,SHAWN,650
1997,ADAM,650
2002,TYLER,650
2021,OLIVER,650
1924,GORDON,649
1994,JONATHAN,649
2007,ALEXANDER,649
1924,KENNETH,648
1945,GEORGE,648
1956,EDWARD,648
1978,BRIAN,648
2005,MICHAEL,648
1922,GORDON,647
1946,PETER,647
1962,ANDREW,647
1969,THOMAS,647
1972,PETER,647
1958,WAYNE,646
2004,NOAH,646
2012,NATHAN,646
1974,RYAN,645
1975,BRIAN,645
1977,SHAWN,645
1978,SCOTT,645
1985,WILLIAM,645
1990,WILLIAM,645
1923,HAROLD,644
1978,WILLIAM,644
2006,BENJAMIN,644
1973,SEAN,643
1980,BRIAN,643
2018,BENJAMIN                      ,643
1988,SCOTT,642
1998,AUSTIN,642
2016,WILLIAM,642
2017,LUCAS,642
1972,GREGORY,641
1996,WILLIAM,641
2003,NATHAN,641
1961,SCOTT,640
1968,KENNETH,640
2000,BRANDON,640
1925,CHARLES,639
1948,GEORGE,639
1976,SHAWN,639
2007,NICHOLAS,639
1950,WAYNE,638
1953,GEORGE,638
1973,STEPHEN,638
1992,PATRICK,638
2004,WILLIAM,638
2012,ALEXANDER,638
2015,LOGAN,638
1920,GORDON,637
1942,GARY,637
1974,BRIAN,637
1986,WILLIAM,637
1993,ZACHARY,637
2008,BENJAMIN,637
2009,OWEN,637
1919,THOMAS,636
1979,RICHARD,636
1986,SCOTT,636
1957,WAYNE,635
1988,THOMAS,635
2010,MATTHEW,634
2013,NATHAN,634
2015,NATHAN,634
1948,LARRY,633
1987,THOMAS,633
1990,JESSE,633
2004,BENJAMIN,633
1957,JEFFREY,632
1972,SEAN,631
1979,WILLIAM,631
2004,LIAM,631
2005,LUCAS,631
1953,EDWARD,630
1987,ERIC,630
1991,JACOB,630
2002,WILLIAM,630
2007,MICHAEL,630
2007,WILLIAM,630
2015,MASON,630
1917,THOMAS,629
1918,THOMAS,629
1951,BRUCE,629
1966,DOUGLAS,629
1991,WILLIAM,629
1998,WILLIAM,629
1949,EDWARD,628
1988,WILLIAM,628
1997,JOSEPH,628
2004,TYLER,628
1956,WAYNE,627
1974,PETER,627
2013,MASON,627
2020,OLIVER,627
1924,THOMAS,626
1992,WILLIAM,626
1994,JOHN,626
2005,WILLIAM,626
2016,JACOB,626
2012,OWEN,625
2019,BENJAMIN,625
1944,PAUL,624
1952,EDWARD,624
1969,GREGORY,624
1975,SHAWN,624
1982,SCOTT,624
1998,DAVID,624
1954,GORDON,623
1996,ZACHARY,623
1947,LARRY,622
1956,GEORGE,622
1963,GARY,622
1970,DEREK,622
1970,SEAN,622
1994,WILLIAM,622
1995,WILLIAM,622
1999,WILLIAM,622
2009,RYAN,622
1955,EDWARD,621
1962,GARY,621
1973,PETER,621
1981,WILLIAM,621
1921,GORDON,620
1928,GORDON,619
1977,JEREMY,618
1989,MARK,618
1997,WILLIAM,618
2005,ANDREW,618
2015,JACOB,618
1940,KENNETH,617
1940,THOMAS,617
1953,BRUCE,617
1990,JASON,617
1993,WILLIAM,617
1998,JOSEPH,617
2004,DYLAN,617
2010,OWEN,617
2021,JACK,617
1944,MICHAEL,616
1984,SCOTT,616
1993,JOHN,616
2011,ALEXANDER,616
1952,LARRY,615
1976,BRIAN,615
1971,TIMOTHY,614
1992,ZACHARY,614
2001,DYLAN,614
2007,JACK,614
2012,LOGAN,614
1957,GREGORY,613
1983,PAUL,613
2006,ANDREW,613
1924,HAROLD,612
1959,GREGORY,612
1972,SHAWN,612
2007,LIAM,612
2010,JOSHUA,612
1926,KENNETH,611
1952,GORDON,611
1960,SCOTT,611
1989,STEPHEN,611
1998,DYLAN,611
1925,THOMAS,610
1947,EDWARD,610
1959,WAYNE,610
1981,RICHARD,610
1985,BRANDON,610
2003,LIAM,610
2017,JACOB,610
1929,CHARLES,609
1943,GARY,609
2014,LOGAN,609
1959,EDWARD,608
1980,RICHARD,608
1983,ERIC,608
1988,JEFFREY,608
1989,BENJAMIN,608
1993,CODY,608
2019,ETHAN,608
2021,BENJAMIN,608
1922,THOMAS,607
1935,KENNETH,607
1968,THOMAS,607
1969,RONALD,607
1991,PATRICK,607
1975,STEPHEN,606
1977,ADAM,606
1989,JEFFREY,606
1996,BENJAMIN,606
2001,WILLIAM,606
1950,LARRY,605
1988,JORDAN,605
1990,BENJAMIN,605
1999,JOSEPH,605
1999,ZACHARY,605
1925,GORDON,604
1930,CHARLES,604
1955,BRUCE,604
1969,KENNETH,603
1974,STEPHEN,603
1976,STEPHEN,603
1990,MARK,603
1991,JESSE,603
1995,ROBERT,603
2016,OLIVER,603
1956,TIMOTHY,602
1958,EDWARD,602
1968,RONALD,602
1998,ZACHARY,602
2006,LIAM,602
2012,MASON,602
1923,KENNETH,601
1976,JEREMY,601
1990,SCOTT,601
1999,ADAM,601
1999,BENJAMIN,601
2002,NATHAN,601
1952,CHARLES,600
1919,HAROLD,599
1973,GREGORY,599
1992,JESSE,599
2013,ALEXANDER,599
2022,OLIVER,599
1939,KENNETH,598
1957,EDWARD,598
1993,JESSE,598
2008,JACK,598
1941,RICHARD,597
2000,KYLE,597
1950,EDWARD,596
1991,THOMAS,596
1998,NOAH,596
2019,WILLIAM,596
1967,GREGORY,595
1975,PETER,595
2018,ETHAN                         ,595
1952,BRUCE,594
1978,STEPHEN,594
1982,BRIAN,594
1996,ERIC,594
2011,LOGAN,594
1929,THOMAS,593
1949,GORDON,593
1984,NICHOLAS,592
1985,ALEXANDER,592
1995,JONATHAN,592
1918,HAROLD,591
2000,CHRISTOPHER,591
2003,DYLAN,591
2005,TYLER,591
1926,CHARLES,590
1953,CHARLES,590
1970,KENNETH,590
1993,THOMAS,590
1927,CHARLES,589
1945,PETER,589
1970,THOMAS,589
1991,CODY,589
1996,JONATHAN,589
2003,NOAH,589
1926,GORDON,588
1983,RICHARD,588
1985,SCOTT,588
1997,ZACHARY,588
1958,GEORGE,587
1983,STEPHEN,587
2023,THEODORE,587
1927,GORDON,586
1951,EDWARD,586
1978,TIMOTHY,586
1922,KENNETH,585
1937,KENNETH,585
1954,EDWARD,585
1960,EDWARD,585
2000,WILLIAM,585
2016,JAMES,585
2017,ETHAN,585
1928,CHARLES,584
1936,DAVID,584
1985,BRIAN,584
2001,NOAH,584
1934,KENNETH,583
1956,BRUCE,583
1984,RICHARD,583
2013,LOGAN,583
1974,GREGORY,582
1982,RICHARD,582
1990,CODY,582
2002,NOAH,582
1951,DANIEL,581
1958,BRUCE,581
1989,JESSE,581
1990,PATRICK,581
1999,AUSTIN,581
2023,OLIVER,581
1971,DEREK,580
1999,JORDAN,580
